requested_at,spot_per_kwh,per_kwh,date,state_time,end_time,renewables,tariff_info_season,tariff_info_period,spike_status
"""2021-07-07T20:23:20.223Z""",28.43138,37.31748,2021-07-08,"08/07/2021, 6:00:01 am","08/07/2021, 6:30:00 am",6.710000000000001,,offPeak,none
"""2021-07-07T20:02:06.552Z""",29.11393,38.03334,2021-07-08,"08/07/2021, 6:00:01 am","08/07/2021, 6:30:00 am",6.648,,offPeak,none
"""2021-07-07T19:51:13.734Z""",22.57591,31.17627,2021-07-08,"08/07/2021, 5:30:01 am","08/07/2021, 6:00:00 am",7.754,,offPeak,none
"""2021-07-07T19:41:19.092Z""",19.83712,28.30384,2021-07-08,"08/07/2021, 5:30:01 am","08/07/2021, 6:00:00 am",7.958,,offPeak,none
"""2021-07-07T19:31:24.836Z""",24.08766,32.76179,2021-07-08,"08/07/2021, 5:30:01 am","08/07/2021, 6:00:00 am",7.919,,offPeak,none
"""2021-07-07T19:21:33.411Z""",22.57198,31.17215,2021-07-08,"08/07/2021, 5:00:01 am","08/07/2021, 5:30:00 am",8.744,,offPeak,none
"""2021-07-07T19:11:05.771Z""",22.67387,31.27901,2021-07-08,"08/07/2021, 5:00:01 am","08/07/2021, 5:30:00 am",8.584,,offPeak,none
"""2021-07-07T18:56:08.291Z""",14.32116,22.51871,2021-07-08,"08/07/2021, 4:30:01 am","08/07/2021, 5:00:00 am",8.422,,offPeak,none
"""2021-07-07T18:42:23.358Z""",15.55966,23.81764,2021-07-08,"08/07/2021, 4:30:01 am","08/07/2021, 5:00:00 am",8.071,,offPeak,none
"""2021-07-07T18:18:34.336Z""",11.30665,19.35709,2021-07-08,"08/07/2021, 4:00:01 am","08/07/2021, 4:30:00 am",7.943,,offPeak,none
"""2021-07-07T17:56:04.524Z""",8.871500000000001,16.80311,2021-07-08,"08/07/2021, 3:30:01 am","08/07/2021, 4:00:00 am",8.002104820037886,,offPeak,none
"""2021-07-07T17:46:18.082Z""",8.93061,16.86511,2021-07-08,"08/07/2021, 3:30:01 am","08/07/2021, 4:00:00 am",7.882,,offPeak,none
"""2021-07-07T17:20:39.392Z""",10.31884,18.32108,2021-07-08,"08/07/2021, 3:00:01 am","08/07/2021, 3:30:00 am",7.852,,offPeak,none
"""2021-07-07T16:51:49.140Z""",11.76152,19.83416,2021-07-08,"08/07/2021, 2:30:01 am","08/07/2021, 3:00:00 am",8.293000000000001,,offPeak,none
"""2021-07-07T16:05:22.615Z""",13.10499,21.24319,2021-07-08,"08/07/2021, 2:00:01 am","08/07/2021, 2:30:00 am",8.641,,offPeak,none
"""2021-07-07T15:47:34.283Z""",14.79908,23.01995,2021-07-08,"08/07/2021, 1:30:01 am","08/07/2021, 2:00:00 am",8.638,,offPeak,none
"""2021-07-07T15:18:18.670Z""",21.01311,29.53721,2021-07-08,"08/07/2021, 1:00:01 am","08/07/2021, 1:30:00 am",7.949000000000001,,offPeak,none
"""2021-07-07T14:55:26.182Z""",20.62351,29.1286,2021-07-08,"08/07/2021, 12:30:01 am","08/07/2021, 1:00:00 am",7.5889999999999995,,offPeak,none
"""2021-07-07T14:46:00.330Z""",20.24112,28.72755,2021-07-08,"08/07/2021, 12:30:01 am","08/07/2021, 1:00:00 am",7.619,,offPeak,none
"""2021-07-07T14:32:49.891Z""",20.65503,29.16166,2021-07-08,"08/07/2021, 12:30:01 am","08/07/2021, 1:00:00 am",7.915,,offPeak,none
"""2021-07-07T14:16:03.122Z""",21.02168,29.5462,2021-07-08,"08/07/2021, 12:00:01 am","08/07/2021, 12:30:00 am",7.942,,offPeak,none
"""2021-07-07T13:56:29.675Z""",19.40232,27.84782,2021-07-07,"07/07/2021, 11:30:01 pm","08/07/2021, 12:00:00 am",7.865,,offPeak,none
"""2021-07-07T13:46:42.597Z""",20.57172,29.07428,2021-07-07,"07/07/2021, 11:30:01 pm","08/07/2021, 12:00:00 am",7.829999999999999,,offPeak,none
"""2021-07-07T13:36:46.411Z""",21.38642,29.92874,2021-07-07,"07/07/2021, 11:30:01 pm","08/07/2021, 12:00:00 am",7.710999999999999,,offPeak,none
"""2021-07-07T13:18:56.894Z""",21.21469,29.74863,2021-07-07,"07/07/2021, 11:00:01 pm","07/07/2021, 11:30:00 pm",7.526,,offPeak,none
,16.32112,31.24926,2021-07-07,"07/07/2021, 10:30:01 pm","07/07/2021, 11:00:00 pm",7.761,,peak,none
,16.64208,31.58588,2021-07-07,"07/07/2021, 10:30:01 pm","07/07/2021, 11:00:00 pm",7.698,,peak,none
,23.3332,38.60352,2021-07-07,"07/07/2021, 10:00:01 pm","07/07/2021, 10:30:00 pm",6.75511786497717,,peak,none
