type,quality,spot_per_kwh,per_kwh,kwh_usage_in_timeframe,utc_start_time,local_start_time,utc_end_time,local_end_time,renewables,tariff_info_season,tariff_info_period,spike_status,descriptor
Usage,billable,-0.35458,10.37666,0.186,2024-07-24T13:30:01Z,"24/07/2024, 11:30:01 pm",2024-07-24T14:00:00Z,"25/07/2024, 12:00:00 am",55.938,,offPeak,none,extremelyLow
Usage,billable,0.75532,11.53485,0.186,2024-07-24T13:00:01Z,"24/07/2024, 11:00:01 pm",2024-07-24T13:30:00Z,"24/07/2024, 11:30:00 pm",54.56100000000001,,offPeak,none,extremelyLow
Usage,billable,0.98449,11.77399,1.059,2024-07-24T12:30:01Z,"24/07/2024, 10:30:01 pm",2024-07-24T13:00:00Z,"24/07/2024, 11:00:00 pm",54.056000000000004,,offPeak,none,extremelyLow
Usage,billable,0.57293,11.34452,1.382,2024-07-24T12:00:01Z,"24/07/2024, 10:00:01 pm",2024-07-24T12:30:00Z,"24/07/2024, 10:30:00 pm",52.64,,offPeak,none,extremelyLow
Usage,billable,3.68351,14.59043,0.719,2024-07-24T11:30:01Z,"24/07/2024, 9:30:01 pm",2024-07-24T12:00:00Z,"24/07/2024, 10:00:00 pm",49.534,,offPeak,none,extremelyLow
Usage,billable,6.99335,18.04426,0.646,2024-07-24T11:00:01Z,"24/07/2024, 9:00:01 pm",2024-07-24T11:30:00Z,"24/07/2024, 9:30:00 pm",47.892,,offPeak,none,veryLow
Usage,billable,6.93835,30.85687,0.28,2024-07-24T10:30:01Z,"24/07/2024, 8:30:01 pm",2024-07-24T11:00:00Z,"24/07/2024, 9:00:00 pm",45.818,,peak,none,low
Usage,billable,7.07643,31.00096,0.221,2024-07-24T10:00:01Z,"24/07/2024, 8:00:01 pm",2024-07-24T10:30:00Z,"24/07/2024, 8:30:00 pm",44.778,,peak,none,low
Usage,billable,7.09348,31.01875,0.248,2024-07-24T09:30:01Z,"24/07/2024, 7:30:01 pm",2024-07-24T10:00:00Z,"24/07/2024, 8:00:00 pm",43.627,,peak,none,low
Usage,billable,9.59557,33.62969,0.318,2024-07-24T09:00:01Z,"24/07/2024, 7:00:01 pm",2024-07-24T09:30:00Z,"24/07/2024, 7:30:00 pm",42.526,,peak,none,low
Usage,billable,14.36818,38.60993,0.207,2024-07-24T08:30:01Z,"24/07/2024, 6:30:01 pm",2024-07-24T09:00:00Z,"24/07/2024, 7:00:00 pm",41.396,,peak,none,neutral
Usage,billable,15.91401,40.22301,0.458,2024-07-24T08:00:01Z,"24/07/2024, 6:00:01 pm",2024-07-24T08:30:00Z,"24/07/2024, 6:30:00 pm",40.964,,peak,none,neutral
Usage,billable,11.01762,35.1136,0.558,2024-07-24T07:30:01Z,"24/07/2024, 5:30:01 pm",2024-07-24T08:00:00Z,"24/07/2024, 6:00:00 pm",41.294,,peak,none,low
Usage,billable,4.25934,28.06131,0.618,2024-07-24T07:00:01Z,"24/07/2024, 5:00:01 pm",2024-07-24T07:30:00Z,"24/07/2024, 5:30:00 pm",43.167,,peak,none,low
Usage,billable,5.16267,29.00394,0.264,2024-07-24T06:30:01Z,"24/07/2024, 4:30:01 pm",2024-07-24T07:00:00Z,"24/07/2024, 5:00:00 pm",46.028999999999996,,peak,none,low
Usage,billable,2.15525,25.86568,0.238,2024-07-24T06:00:01Z,"24/07/2024, 4:00:01 pm",2024-07-24T06:30:00Z,"24/07/2024, 4:30:00 pm",49.817,,peak,none,low
Usage,billable,1.16362,24.83091,0.255,2024-07-24T05:30:01Z,"24/07/2024, 3:30:01 pm",2024-07-24T06:00:00Z,"24/07/2024, 4:00:00 pm",53.774,,peak,none,veryLow
Usage,billable,0.9845,24.644,0.275,2024-07-24T05:00:01Z,"24/07/2024, 3:00:01 pm",2024-07-24T05:30:00Z,"24/07/2024, 3:30:00 pm",54.681999999999995,,peak,none,veryLow
Usage,billable,0.82078,11.60316,0.412,2024-07-24T04:30:01Z,"24/07/2024, 2:30:01 pm",2024-07-24T05:00:00Z,"24/07/2024, 3:00:00 pm",55.004,,offPeak,none,extremelyLow
Usage,billable,1.04885,11.84115,0.408,2024-07-24T04:00:01Z,"24/07/2024, 2:00:01 pm",2024-07-24T04:30:00Z,"24/07/2024, 2:30:00 pm",55.839000000000006,,offPeak,none,extremelyLow
Usage,billable,1.38063,12.18736,0.294,2024-07-24T03:30:01Z,"24/07/2024, 1:30:01 pm",2024-07-24T04:00:00Z,"24/07/2024, 2:00:00 pm",57.62199999999999,,offPeak,none,extremelyLow
Usage,billable,2.76649,13.63351,0.259,2024-07-24T03:00:01Z,"24/07/2024, 1:00:01 pm",2024-07-24T03:30:00Z,"24/07/2024, 1:30:00 pm",59.21999999999999,,offPeak,none,extremelyLow
Usage,billable,-0.00884,10.73745,0.496,2024-07-24T02:30:01Z,"24/07/2024, 12:30:01 pm",2024-07-24T03:00:00Z,"24/07/2024, 1:00:00 pm",62.25000000000001,,offPeak,none,extremelyLow
Usage,billable,-0.47149,10.25467,1.461,2024-07-24T02:00:01Z,"24/07/2024, 12:00:01 pm",2024-07-24T02:30:00Z,"24/07/2024, 12:30:00 pm",64.46600000000001,,offPeak,none,extremelyLow
Usage,billable,-0.31242,10.42066,0.518,2024-07-24T01:30:01Z,"24/07/2024, 11:30:01 am",2024-07-24T02:00:00Z,"24/07/2024, 12:00:00 pm",63.836999999999996,,offPeak,none,extremelyLow
Usage,billable,1.23929,12.03987,0.526,2024-07-24T01:00:01Z,"24/07/2024, 11:00:01 am",2024-07-24T01:30:00Z,"24/07/2024, 11:30:00 am",62.622,,offPeak,none,extremelyLow
Usage,billable,0.49784,11.26617,0.518,2024-07-24T00:30:01Z,"24/07/2024, 10:30:01 am",2024-07-24T01:00:00Z,"24/07/2024, 11:00:00 am",62.13999999999999,,offPeak,none,extremelyLow
